drug,n_samples,n_train,n_test,best_corr,pretrain_corr
TPV,1226,980,246,0.8555965588909813,0.8761007714015381
DRV,993,794,199,0.927434496161403,0.9466961822299237
DTG,370,296,74,0.9288460832481673,0.8352165284045674
RPV,311,248,63,0.9238655984105996,0.8044288597115027
