epitope_class,n_antibodies,n_records,geometric_mean_ic50,median_ic50,mean_log_ic50,std_log_ic50,min_ic50,max_ic50
V2-glycan,3,10064,0.6893952148149569,0.37807035,-0.16153173541410476,1.2894740559988493,1e-05,100.0
interface,2,1989,3.5968980540358437,10.0,0.5559281288952107,1.2256396962782607,8e-05,126.281
CD4bs,5,17899,1.121256210477805,0.566,0.04970486155383942,1.13659958503018,0.000155,200.0
V3-glycan,3,12071,0.74532403892189,0.34,-0.1276548712522855,1.4423637985682212,0.0001,200.0
MPER,3,10875,1.8150239949457114,1.7,0.2588823708617361,0.9326498940829943,0.0001,100.0
